shape_label,gamma_r,gamma_a,gamma_b,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,physical,notes
linear_reference,1.0,1.0,1.0,0.16486816,0.7,0.02,extinct_steady,extinct_basin,3.7167462150609004e-06,3.7901874623309398e-06,-0.6999962098125376,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,0.05,extinct_steady,extinct_basin,8.854262199126643e-06,3.802188863607157e-06,-0.6999961978111363,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,0.1,extinct_steady,extinct_basin,1.6375034831911056e-05,3.821644375099267e-06,-0.6999961783556249,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,0.2,extinct_steady,extinct_basin,2.814342391217999e-05,3.858703742834591e-06,-0.6999961412962571,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,0.5,extinct_steady,extinct_basin,4.645595074618056e-05,3.957485130262705e-06,-0.6999960425148697,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,1.0,extinct_steady,extinct_basin,5.2271149362879996e-05,4.0877516835690344e-06,-0.6999959122483164,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.7,1.5,extinct_steady,extinct_basin,4.9448249044919085e-05,4.187049917414084e-06,-0.6999958129500825,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,0.02,extinct_steady,extinct_basin,3.232515500997661e-08,5.63531099762362e-06,-0.7999943646890024,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,0.05,extinct_steady,extinct_basin,7.68767555791212e-08,5.6496979450431165e-06,-0.799994350302055,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,0.1,extinct_steady,extinct_basin,1.4131503811543952e-07,5.672809107846128e-06,-0.7999943271908923,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,0.2,extinct_steady,extinct_basin,2.4201811628200314e-07,5.716977867744637e-06,-0.7999942830221323,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,0.5,extinct_steady,extinct_basin,3.9716588895820646e-07,5.834466323279164e-06,-0.7999941655336767,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,1.0,extinct_steady,extinct_basin,4.472328160043029e-07,5.9917398615076576e-06,-0.7999940082601386,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.8,1.5,extinct_steady,extinct_basin,4.2357599489098714e-07,6.1149086166285455e-06,-0.7999938850913834,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,0.02,extinct_steady,extinct_basin,1.0076555602424474e-11,9.945320255582616e-06,-0.8999900546797445,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,0.05,extinct_steady,extinct_basin,2.5167510831399488e-11,9.965949068311016e-06,-0.8999900340509317,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,0.1,extinct_steady,extinct_basin,4.507888345965472e-11,9.999536892165505e-06,-0.8999900004631078,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,0.2,extinct_steady,extinct_basin,7.712132874159246e-11,1.0063678061755068e-05,-0.8999899363219382,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,0.5,extinct_steady,extinct_basin,1.263571735496919e-10,1.0235436042243095e-05,-0.8999897645639577,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,1.0,extinct_steady,extinct_basin,1.4136935119343344e-10,1.0468553337367839e-05,-0.8999895314466626,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.9,1.5,extinct_steady,extinct_basin,1.3623343079601227e-10,1.0655090394099346e-05,-0.8999893449096059,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,0.02,persistent_steady,persistent_basin,1.3093869639073143,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,0.05,persistent_steady,persistent_basin,1.3093869638963085,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,0.1,persistent_steady,persistent_basin,1.309386963907042,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,0.2,persistent_steady,persistent_basin,1.309386963907038,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,0.5,persistent_steady,persistent_basin,1.3093869639070377,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,1.0,persistent_steady,persistent_basin,1.3093869639070501,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.0,1.5,persistent_steady,persistent_basin,1.3093869639070383,0.0,0.0,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,0.02,persistent_steady,persistent_basin,1.3093869639070372,-5.683689179469369e-13,-0.10000000000056837,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,0.05,persistent_steady,persistent_basin,1.3093869640110765,-3.634639225495401e-13,-0.10000000000036346,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,0.1,persistent_steady,persistent_basin,1.3093869639070377,-1.794280984225355e-16,-0.10000000000000019,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,0.2,persistent_steady,persistent_basin,1.3093869639070366,-7.606643235324936e-17,-0.10000000000000007,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,0.5,persistent_steady,persistent_basin,0.6416666646408511,0.04586056164500583,-0.05413943835499418,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,1.0,persistent_steady,persistent_basin,0.6416666654481423,0.04586056156549272,-0.05413943843450728,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.1,1.5,persistent_steady,persistent_basin,0.6416666645424215,0.04586056161304753,-0.054139438386952475,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,0.02,persistent_steady,persistent_basin,1.3093869639076028,-5.425915970804201e-13,-0.2000000000005426,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,0.05,persistent_steady,persistent_basin,1.3093869640034035,-5.449801503701314e-13,-0.200000000000545,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,0.1,persistent_steady,persistent_basin,1.3093869639602222,-5.652883340000896e-13,-0.2000000000005653,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,0.2,persistent_steady,persistent_basin,1.3093869637710653,-5.880331523150929e-13,-0.20000000000058804,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,0.5,persistent_steady,persistent_basin,1.3093869638492328,-5.992941172461626e-13,-0.2000000000005993,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,1.0,persistent_steady,persistent_basin,1.3093869639069657,-3.9219314736199907e-13,-0.2000000000003922,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.2,1.5,persistent_steady,persistent_basin,1.309386963906778,-3.8313615377069936e-13,-0.20000000000038315,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.3,0.02,recovery_transient,transient_basin,1.3093869638338311,-5.444200770788038e-13,-0.3000000000005444,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.3,0.05,recovery_transient,transient_basin,1.3093869638373232,-5.248183691975483e-13,-0.3000000000005248,True,ode_solve_success
all_concave,0.5,0.5,0.5,0.1584375,0.3,0.1,persistent_steady,persistent_basin,1.3093869639057143,-4.887498849062269e-13,-0.30000000000048876,True,ode_solve_success
