run_id,stress,T,n_x,n_y,seed,tail_fraction,physical,persistent_predator,persistent_without_slope_check,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,tail_q_change,tail_mean_var_q,tail_mean_min_z,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,classification_note
PDE_EVO_s0p16486816_T500_tail0p50,0.16486816,500.0,64,64,20260702,0.5,True,False,False,2.9442085061497756e-06,2.5565130459074766e-06,-3.6707705816374833e-09,-4.0000000000000003e-07,0.049237890289480536,-0.6233768512919062,1.0535257331079224e-14,0.5597366668274677,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
PDE_EVO_s0p16486816_T800_tail0p25,0.16486816,800.0,64,64,20260702,0.25,True,False,False,6.643104418698672e-06,4.347361508827959e-06,2.660390433599749e-08,-5e-07,0.002077147260164006,-0.6705375943212227,1.0707990780212705e-17,0.550407490810653,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
PDE_EVO_s0p16486816_T800_tail0p35,0.16486816,800.0,64,64,20260702,0.35,True,False,False,5.831112020045708e-06,3.298010342902419e-06,2.2482441544762666e-08,-3.5714285714285716e-07,0.0035014486801903657,-0.6691132929011965,3.95636780402548e-17,0.5506821998342782,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
PDE_EVO_s0p16486816_T800_tail0p50,0.16486816,800.0,64,64,20260702,0.5,True,False,False,4.942810074106602e-06,2.5688692079025008e-06,1.7249628483769834e-08,-2.5e-07,0.0081342503588094,-0.6644804912225774,3.223188391471551e-16,0.5515823095131034,4.833170805379261,2.5563888016236968e-06,0.0006784517670002996,0.6726482997526597,0.5501405498201998,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T500_tail0p25,0.175,500.0,64,64,20260702,0.25,True,False,False,3.719870476787535e-08,2.134472676055162e-08,-3.147938297463901e-10,-8.000000000000001e-07,0.023182652223618785,-0.649432089357768,1.5648027014071257e-15,0.5545108707490128,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T500_tail0p35,0.175,500.0,64,64,20260702,0.35,True,False,False,5.087653073701362e-08,2.134472676055162e-08,-4.698611836897696e-10,-5.714285714285715e-07,0.030991063764935625,-0.6416236778164511,3.273607137314576e-15,0.5560560903558076,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T500_tail0p50,0.175,500.0,64,64,20260702,0.5,True,False,False,1.0147739252474331e-07,2.134472676055162e-08,-1.1000879721393948e-09,-4.0000000000000003e-07,0.04891105522292603,-0.6237036863584607,1.061700045030203e-14,0.5596676587793786,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T800_tail0p25,0.175,800.0,64,64,20260702,0.25,True,False,False,6.237648427144139e-09,3.1983365075652587e-09,-3.716480323087453e-11,-5e-07,0.00206267141811573,-0.670552070163271,1.0783438504467552e-17,0.5503980699616269,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T800_tail0p35,0.175,800.0,64,64,20260702,0.35,True,False,False,8.56200811651317e-09,3.1983365075652587e-09,-5.116889134816534e-11,-3.5714285714285716e-07,0.003477106919936893,-0.6691376346614499,3.9837891530199155e-17,0.5506716784321245,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
PDE_EVO_s0p175_T800_tail0p50,0.175,800.0,64,64,20260702,0.5,True,False,False,1.521847793526895e-08,3.1983365075652587e-09,-9.367905314866869e-11,-2.5e-07,0.00807815458362921,-0.6645365869977575,3.245512182769418e-16,0.5515664555640978,4.833170805379261,3.1982555840881663e-09,0.0006737077015419405,0.6726482997526597,0.5501299269794357,0,0.0,near_classifier_tolerance
