run_id,stress,q0,w0_scale,n0,w0,z0,T,classification,basin_label,tail_mean_w,tail_mean_q,q_change,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,rhs_norm,state_norm,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
s0p1584375_q0p9_wscale0p05,0.1584375,0.9,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,extinct_steady,extinct_basin,3.070236257642603e-07,9.92363716939117e-06,-0.8999900763628307,4.099041149178503e-09,3.070236257642603e-07,0.0030292458461508177,3.0994362458466445e-08,6.116663890067072,5.067200522297553e-09,True,4.833170805379261,9.653895060050795e-12,8.191602534380702e-07,0.900033558171273,0.5500008587467308,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p9_wscale0p1,0.1584375,0.9,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,extinct_steady,extinct_basin,5.630757706855428e-07,9.958693754675544e-06,-0.8999900413062454,7.517532370408528e-09,5.630757706855428e-07,0.005555582383151342,5.66488927341806e-08,6.116661705545955,9.261406868850906e-09,True,4.833170805379261,1.777432562572758e-11,8.220552699852631e-07,0.900033558171273,0.5500011468196377,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p9_wscale0p2,0.1584375,0.9,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,extinct_steady,extinct_basin,9.546906555710686e-07,1.0025499546104818e-05,-0.8999899745004539,1.2745856084003881e-08,9.546906555710686e-07,0.009419447994870647,9.637538487955228e-08,6.116658364173862,1.5756215100067812e-08,True,4.833170805379261,3.0360239622723584e-11,8.275717514517119e-07,0.900033558171273,0.5500014780409719,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p9_wscale0p5,0.1584375,0.9,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,extinct_steady,extinct_basin,1.5372058457875382e-06,1.0203250572539055e-05,-0.8999897967494275,2.052300107513198e-08,1.5372058457875382e-06,0.015166828447124062,1.5568196164780963e-07,6.116653392558365,2.545214705760755e-08,True,4.833170805379261,4.9846756257368125e-11,8.422474727248738e-07,0.900033558171273,0.5500018695473495,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p9_wscale1,0.1584375,0.9,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,extinct_steady,extinct_basin,1.6974687562111556e-06,1.0442289741516474e-05,-0.8999895577102585,2.2663400149002225e-08,1.6974687562111556e-06,0.016748053560621534,1.7199557004448903e-07,6.116652021699081,2.8119234089879153e-08,True,4.833170805379261,5.6476574532607536e-11,8.619804911014681e-07,0.900033558171273,0.5500019835259873,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p9_wscale1p5,0.1584375,0.9,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,extinct_steady,extinct_basin,1.5860028367252513e-06,1.0631383947908313e-05,-0.8999893686160522,2.117594946001542e-08,1.5860028367252513e-06,0.01564826887265236,1.6061472723243373e-07,6.116652969515807,2.62585973134173e-08,True,4.502257004950554,5.3830055984927066e-11,8.775893394432162e-07,0.9005336141282269,0.5500019389190907,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p0_wscale0p02,0.16486816,0.0,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,declining_transient,transient_basin,1.1657260749902012,0.050991745181380464,0.05098770380604028,1.275999881784441,1.1657260749902012,-0.08642148668542639,0.004136520781650812,4.356654392942652,0.0009494718673006436,True,3.5583248930676166,0.012832861040062876,0.0,0.1435575588397292,0.5641228661266469,0,0.0,window_change_indicates_transient
s0p16486816_q0p0_wscale0p05,0.16486816,0.0,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,declining_transient,transient_basin,0.9205272227140753,0.13277400702460238,0.1327699656492622,1.2567462794110367,0.9205272227140753,-0.26753137224685286,0.001050656861856839,4.855134384813612,0.00021640119069478108,True,3.5583305415701467,0.03208215260015719,0.0,0.1961775929229807,0.5852873184922783,0,0.0,window_change_indicates_transient
s0p16486816_q0p0_wscale0p1,0.16486816,0.0,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,declining_transient,transient_basin,0.7979723364888957,0.16557534400954366,0.16557130263420347,1.2262948589793539,0.7979723364888957,-0.3492818381763024,3.0206394155688386e-05,4.886566883602703,6.18151656883047e-06,True,3.5583344743538805,0.06416430520031438,0.0,0.19644982784779064,0.6204509699581722,0,0.0,window_change_indicates_transient
s0p16486816_q0p0_wscale0p2,0.16486816,0.0,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,declining_transient,transient_basin,0.7387922762660042,0.17941133303830825,0.17940729166296807,1.1944324453542436,0.7387922762660042,-0.381470020226306,9.06041761854854e-05,4.882926294331865,1.8555302849985545e-05,True,3.558336829649958,0.12832861040062876,0.0,0.19645052423542753,0.6901284974431119,0,0.0,window_change_indicates_transient
