D_n,D_w,D_q,stress,lambda_value,q_star,max_real_growth,eigenvalues_real,eigenvalues_imag,positive_lambda
0.01,0.01,0.0,0.11765625,27.333037310315717,0.3321577847439918,-0.0027723802819947705,-4.812256627;-0.3177002363;-0.002772380282,0;0;0,True
0.01,0.01,0.0,0.11765625,27.670482215381345,0.3321577847439918,-0.0027464687864975634,-4.815631322;-0.3211003506;-0.002746468786,0;0;0,True
0.01,0.01,0.0,0.11765625,28.00792712044697,0.3321577847439918,-0.0027211000662337843,-4.819006017;-0.3244999225;-0.002721100066,0;0;0,True
0.01,0.01,0.0,0.11765625,28.345372025512596,0.3321577847439918,-0.002696256982237613,-4.822380712;-0.327898969;-0.002696256982,0;0;0,True
0.01,0.01,0.0,0.11765625,28.68281693057822,0.3321577847439918,-0.0026719231149389044,-4.825755406;-0.3312975067;-0.002671923115,0;0;0,True
0.01,0.01,0.0,0.11765625,29.020261835643847,0.3321577847439918,-0.0026480827265612994,-4.8291301;-0.3346955512;-0.002648082727,0;0;0,True
0.01,0.01,0.0,0.11765625,29.357706740709475,0.3321577847439918,-0.002624720725869208,-4.832504794;-0.3380931177;-0.002624720726,0;0;0,True
0.01,0.01,0.0,0.11765625,29.6951516457751,0.3321577847439918,-0.002601822635093132,-4.835879487;-0.3414902206;-0.002601822635,0;0;0,True
0.01,0.01,0.0,0.11765625,30.032596550840726,0.3321577847439918,-0.0025793745588770516,-4.83925418;-0.3448868739;-0.002579374559,0;0;0,True
0.01,0.01,0.0,0.11765625,30.370041455906353,0.3321577847439918,-0.002557363155104228,-4.842628873;-0.3482830908;-0.002557363155,0;0;0,True
0.01,0.01,0.0,0.11765625,30.707486360971977,0.3321577847439918,-0.0025357756074695023,-4.846003565;-0.3516788842;-0.002535775607,0;0;0,True
0.01,0.01,0.0,0.11765625,31.044931266037604,0.3321577847439918,-0.002514599599676552,-4.849378257;-0.3550742664;-0.0025145996,0;0;0,True
0.01,0.01,0.0,0.11765625,31.382376171103232,0.3321577847439918,-0.002493823291148359,-4.852752948;-0.3584692492;-0.002493823291,0;0;0,True
0.01,0.01,0.0,0.11765625,31.719821076168856,0.3321577847439918,-0.0024734352941477777,-4.85612764;-0.3618638441;-0.002473435294,0;0;0,True
0.01,0.01,0.0,0.11765625,32.05726598123448,0.3321577847439918,-0.002453424652213092,-4.859502331;-0.3652580619;-0.002453424652,0;0;0,True
0.01,0.01,0.0,0.11765625,32.39471088630011,0.3321577847439918,-0.0024337808198208106,-4.862877021;-0.3686519133;-0.00243378082,0;0;0,True
0.01,0.01,0.0,0.11765625,32.732155791365734,0.3321577847439918,-0.0024144936431945165,-4.866251711;-0.3720454084;-0.002414493643,0;0;0,True
0.01,0.01,0.0,0.11765625,33.06960069643136,0.3321577847439918,-0.002395553342184811,-4.869626401;-0.3754385569;-0.002395553342,0;0;0,True
0.01,0.01,0.0,0.11765625,33.40704560149699,0.3321577847439918,-0.0023769504931508653,-4.873001091;-0.3788313683;-0.002376950493,0;0;0,True
0.01,0.01,0.0,0.11765625,33.74449050656261,0.3321577847439918,-0.0023586760127792664,-4.87637578;-0.3822238516;-0.002358676013,0;0;0,True
0.01,0.01,0.0,0.11765625,34.08193541162824,0.3321577847439918,-0.002340721142780573,-4.879750469;-0.3856160157;-0.002340721143,0;0;0,True
0.01,0.01,0.0,0.11765625,34.41938031669387,0.3321577847439918,-0.0023230774354082457,-4.883125157;-0.3890078689;-0.002323077435,0;0;0,True
0.01,0.01,0.0,0.11765625,34.75682522175949,0.3321577847439918,-0.002305736739748615,-4.886499846;-0.3923994195;-0.00230573674,0;0;0,True
0.01,0.01,0.0,0.11765625,35.094270126825116,0.3321577847439918,-0.002288691188734222,-4.889874534;-0.3957906753;-0.002288691189,0;0;0,True
0.01,0.01,0.0,0.11765625,35.43171503189075,0.3321577847439918,-0.0022719331868361592,-4.893249221;-0.3991816438;-0.002271933187,0;0;0,True
0.01,0.01,0.0,0.11765625,35.76915993695637,0.3321577847439918,-0.0022554553983942043,-4.896623908;-0.4025723324;-0.002255455398,0;0;0,True
0.01,0.01,0.0,0.11765625,36.106604842021994,0.3321577847439918,-0.002239250736546304,-4.899998595;-0.4059627483;-0.002239250737,0;0;0,True
0.01,0.01,0.0,0.11765625,36.444049747087625,0.3321577847439918,-0.0022233123527217176,-4.903373282;-0.4093528982;-0.002223312353,0;0;0,True
0.01,0.01,0.0,0.11765625,36.78149465215325,0.3321577847439918,-0.0022076336266644006,-4.906747968;-0.4127427887;-0.002207633627,0;0;0,True
0.01,0.01,0.0,0.11765625,37.11893955721887,0.3321577847439918,-0.0021922081569555976,-4.910122654;-0.4161324264;-0.002192208157,0;0;0,True
0.01,0.01,0.0,0.11765625,37.456384462284504,0.3321577847439918,-0.002177029752006609,-4.91349734;-0.4195218173;-0.002177029752,0;0;0,True
0.01,0.01,0.0,0.11765625,37.79382936735013,0.3321577847439918,-0.0021620924214946218,-4.916872025;-0.4229109674;-0.002162092421,0;0;0,True
0.01,0.01,0.0,0.11765625,38.13127427241575,0.3321577847439918,-0.0021473903682162946,-4.92024671;-0.4262998826;-0.002147390368,0;0;0,True
0.01,0.01,0.0,0.11765625,38.46871917748138,0.3321577847439918,-0.0021329179803354203,-4.923621395;-0.4296885685;-0.00213291798,0;0;0,True
0.01,0.01,0.0,0.11765625,38.806164082547006,0.3321577847439918,-0.0021186698240025304,-4.926996079;-0.4330770304;-0.002118669824,0;0;0,True
0.01,0.01,0.0,0.11765625,39.14360898761263,0.3321577847439918,-0.002104640636325663,-4.930370763;-0.4364652737;-0.002104640636,0;0;0,True
0.01,0.01,0.0,0.11765625,39.481053892678254,0.3321577847439918,-0.002090825318672961,-4.933745447;-0.4398533034;-0.002090825319,0;0;0,True
0.01,0.01,0.0,0.11765625,39.818498797743885,0.3321577847439918,-0.002077218930288823,-4.93712013;-0.4432411246;-0.00207721893,0;0;0,True
0.01,0.01,0.0,0.11765625,40.15594370280951,0.3321577847439918,-0.002063816682206582,-4.940494813;-0.4466287419;-0.002063816682,0;0;0,True
0.01,0.01,0.0,0.11765625,40.49338860787513,0.3321577847439918,-0.002050613931441741,-4.943869496;-0.45001616;-0.002050613931,0;0;0,True
