r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_c_positive,valid_denominator,valid_z,valid_w,valid_n,s_q0,s_q1,interior_stress_interval_low,interior_stress_interval_high,interior_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p11765625,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,stability_at_s_0p1584375,stability_at_s_0p16486816,condition_class
0.65,0.3,0.06,0.015,0.25,0.5,True,True,True,True,True,0.12109999999999999,-0.12722500000000003,-0.12722500000000003,0.12109999999999999,0.24832500000000002,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.06,0.03,0.5,0.5,True,True,True,True,True,0.12109999999999999,-0.04445000000000002,-0.04445000000000002,0.12109999999999999,0.16555,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.06,0.045,0.75,0.5,True,True,True,True,True,0.12109999999999999,0.03832499999999997,0.03832499999999997,0.12109999999999999,0.08277500000000002,False,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.08,0.02,0.25,0.5,True,True,True,True,True,0.23146666666666668,-0.09963333333333335,-0.09963333333333335,0.23146666666666668,0.33110000000000006,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.08,0.04,0.5,0.5,True,True,True,True,True,0.23146666666666668,0.010733333333333317,0.010733333333333317,0.23146666666666668,0.22073333333333336,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.08,0.06,0.75,0.5,True,True,True,True,True,0.23146666666666668,0.12109999999999999,0.12109999999999999,0.23146666666666668,0.1103666666666667,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.025,0.25,0.5,True,True,True,True,True,0.34183333333333343,-0.07204166666666667,-0.07204166666666667,0.34183333333333343,0.4138750000000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.05,0.5,0.5,True,True,True,True,True,0.34183333333333343,0.06591666666666668,0.06591666666666668,0.34183333333333343,0.27591666666666675,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.07500000000000001,0.7500000000000001,0.5,True,True,True,True,True,0.34183333333333343,0.2038750000000001,0.2038750000000001,0.34183333333333343,0.13795833333333332,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.015,0.25,0.5384615384615384,True,True,True,True,True,0.11725000000000002,-0.1419375,-0.1419375,0.11725000000000002,0.2591875,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.03,0.5,0.5384615384615384,True,True,True,True,True,0.11725000000000002,-0.055541666666666656,-0.055541666666666656,0.11725000000000002,0.17279166666666668,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.045,0.75,0.5384615384615384,True,True,True,True,True,0.11725000000000002,0.030854166666666683,0.030854166666666683,0.11725000000000002,0.08639583333333334,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.08,0.02,0.25,0.5384615384615384,True,True,True,True,True,0.23244444444444454,-0.11313888888888887,-0.11313888888888887,0.23244444444444454,0.3455833333333334,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.35,0.08,0.04,0.5,0.5384615384615384,True,True,True,True,True,0.23244444444444454,0.0020555555555555882,0.0020555555555555882,0.23244444444444454,0.23038888888888895,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
