r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_selection_ratio,z_star,w_star,n_star,s_at_q_equals_1,s_at_q_equals_0,interior_interval_length,nonnegative_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,qualitative_class,notes
0.75,0.25,0.08,0.04,0.5,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,0.028699999999999976,0.21239999999999998,0.1837,0.1837,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.25,0.08,0.06,0.75,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,0.12054999999999996,0.21239999999999998,0.09185000000000001,0.09185000000000001,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.25,0.1,0.025,0.25,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,-0.040187500000000015,0.30424999999999996,0.34443749999999995,0.30424999999999996,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.75,0.25,0.1,0.05,0.5,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,0.07462499999999997,0.30424999999999996,0.229625,0.229625,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.25,0.1,0.07500000000000001,0.75,0.3333333333333333,True,0.825,0.27499999999999997,5.566666666666666,0.1894375,0.30424999999999996,0.11481249999999996,0.11481249999999996,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.35,0.06,0.015,0.25,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,-0.095965234375,0.12238906250000003,0.21835429687500002,0.12238906250000003,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.35,0.06,0.03,0.5,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,-0.02318046874999999,0.12238906250000003,0.14556953125000002,0.12238906250000003,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.35,0.06,0.045,0.75,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,0.04960429687500004,0.12238906250000003,0.072784765625,0.072784765625,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.35,0.08,0.02,0.25,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,-0.07170364583333332,0.21943541666666674,0.29113906250000005,0.21943541666666674,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.75,0.35,0.08,0.04,0.5,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,0.02534270833333338,0.21943541666666674,0.19409270833333336,0.19409270833333336,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.35,0.08,0.06,0.75,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,0.12238906250000003,0.21943541666666674,0.09704635416666671,0.09704635416666671,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.35,0.1,0.025,0.25,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,-0.047442057291666645,0.3164817708333335,0.3639238281250001,0.3164817708333335,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.75,0.35,0.1,0.05,0.5,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,0.07386588541666672,0.3164817708333335,0.2426158854166668,0.2426158854166668,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.35,0.1,0.07500000000000001,0.75,0.3846153846153846,True,0.89375,0.34375,5.429166666666667,0.19517382812500014,0.3164817708333335,0.12130794270833337,0.12130794270833337,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.45,0.06,0.015,0.25,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,-0.11301666666666667,0.12293333333333341,0.23595000000000008,0.12293333333333341,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.45,0.06,0.03,0.5,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,-0.03436666666666664,0.12293333333333341,0.15730000000000005,0.12293333333333341,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.75,0.45,0.06,0.045,0.75,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,0.04428333333333338,0.12293333333333341,0.07865000000000003,0.07865000000000003,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.75,0.45,0.08,0.02,0.25,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,-0.08679999999999999,0.2278000000000001,0.3146000000000001,0.2278000000000001,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.75,0.45,0.08,0.04,0.5,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,0.018066666666666717,0.2278000000000001,0.20973333333333338,0.20973333333333338,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.45,0.08,0.06,0.75,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,0.12293333333333341,0.2278000000000001,0.1048666666666667,0.1048666666666667,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.45,0.1,0.025,0.25,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,-0.06058333333333331,0.3326666666666669,0.3932500000000002,0.3326666666666669,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.75,0.45,0.1,0.05,0.5,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,0.07050000000000008,0.3326666666666669,0.2621666666666668,0.2621666666666668,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.75,0.45,0.1,0.07500000000000001,0.75,0.45454545454545453,True,1.0083333333333335,0.4583333333333334,5.2,0.20158333333333345,0.3326666666666669,0.13108333333333344,0.13108333333333344,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
