case_label,stress,baseline_state,perturbation_type,seed,time,var_n,var_w,var_q,cv_n,cv_w,cv_q,min_n,min_w,min_q,max_q,min_z
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1380.0,1.5764883968188266e-21,4.1819357463504914e-22,3.3128142368403244e-24,8.21483116048378e-12,3.186978977717011e-11,9.30801387584663e-12,4.833333333168201,0.6416666666723919,0.19554266055080916,0.19554266055781463,1.1916666666721019
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1385.0,1.3926439042825574e-21,3.6916991911803413e-22,2.452752148301914e-24,7.72099540102586e-12,2.99435766550274e-11,8.009129437898336e-12,4.833333333178883,0.6416666666716765,0.19554266055186098,0.19554266055787972,1.1916666666714284
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1390.0,1.2113908781688758e-21,3.2090404452760365e-22,1.766271265845274e-24,7.201042963094117e-12,2.7917602301497088e-11,6.7965291198764625e-12,4.833333333189994,0.6416666666709923,0.19554266055283914,0.19554266055793645,1.1916666666707836
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1395.0,1.037824108597595e-21,2.747403844618785e-22,1.230717390574512e-24,6.665229841127614e-12,2.5831627636047596e-11,5.673324813038833e-12,4.833333333201336,0.6416666666703431,0.19554266055374173,0.19554266055798517,1.1916666666701707
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1400.0,8.757124241503922e-22,2.316668396438468e-22,8.2364232336794115e-25,6.1225735099918424e-12,2.372042455724467e-11,4.641173539925533e-12,4.8333333332127335,0.6416666666697322,0.19554266055456807,0.19554266055802633,1.1916666666695952
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1405.0,7.275905452513063e-22,1.923476322708741e-22,5.236278363887801e-25,5.5808040741035565e-12,2.1613940082509786e-11,3.70058038938042e-12,4.833333333224035,0.6416666666691617,0.19554266055531855,0.1955426605580604,1.191666666669056
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1410.0,5.949655337233024e-22,1.57172903954609e-22,3.108889690750369e-25,5.046603172852582e-12,1.9537966451096956e-11,2.851419638997561e-12,4.83333333323511,0.6416666666686326,0.19554266055599456,0.19554266055808828,1.191666666668557
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1415.0,4.784620023025859e-22,1.2629944215985427e-22,1.6755457773967795e-25,4.525608476719581e-12,1.75142375980044e-11,2.0933248495067465e-12,4.8333333332458555,0.641666666668146,0.19554266055659805,0.1955426605581452,1.191666666668096
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1420.0,3.7798992750037416e-22,9.969633245617187e-23,7.794539116298813e-26,4.022475115213452e-12,1.5560735186986016e-11,1.42775503544793e-12,4.83333333325618,0.6416666666677021,0.19554266055713182,0.1955426605582471,1.191666666667676
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1425.0,2.9291690203440597e-22,7.718830006850531e-23,2.8605034044815957e-26,3.5409962646377875e-12,1.3691980095362933e-11,8.649275180196243e-13,4.833333333266014,0.6416666666673008,0.19554266055759895,0.1955426605583396,1.1916666666672957
