stress,q0,w0_scale,n0,w0,z0,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,relative_change_between_last_windows,physical,notes
0.1584375,0.4,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,declining_transient,transient_basin,0.6415306577822408,0.21414637459795957,-0.18585362540204045,-4.332452082932371e-05,8.086162924037172e-06,-0.157280533884992,True,window_change_indicates_transient
0.1584375,0.4,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,declining_transient,transient_basin,0.6416820119159293,0.21415043462824093,-0.1858495653717591,4.914522928077965e-06,-6.385149183552041e-07,-0.02276946907497734,True,window_change_indicates_transient
0.1584375,0.4,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,persistent_steady,persistent_basin,0.6416694359408862,0.21415134863941593,-0.1858486513605841,8.672629299422963e-07,-3.1623431225773025e-07,-0.008838359907075833,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.4,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,persistent_steady,persistent_basin,0.6416746149493242,0.2141510676137492,-0.18584893238625083,2.5309745564279147e-06,-4.797931100293718e-07,-0.014766335267171197,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.5,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,recovery_transient,transient_basin,1.2434127054141688,0.032670639698096464,-0.46732936030190353,0.1823202279145959,-0.00047569707322323566,0.26163057654579613,True,window_change_indicates_transient
0.1584375,0.5,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,declining_transient,transient_basin,1.0914399305020328,0.09316765116083389,-0.4068323488391661,0.13825368397949167,-0.0012681621687731,-0.1180194179075395,True,window_change_indicates_transient
0.1584375,0.5,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,declining_transient,transient_basin,0.9262093748851294,0.1467755439888381,-0.3532244560111619,0.08853469051842798,-0.0015584633585226655,-0.2805607232812077,True,window_change_indicates_transient
0.1584375,0.5,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,declining_transient,transient_basin,0.7839195091268987,0.18621753661900556,-0.31378246338099447,0.04486484909822125,-0.0013318166879144166,-0.3725814043746493,True,window_change_indicates_transient
0.1584375,0.5,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,declining_transient,transient_basin,0.6893615184317644,0.207506782959273,-0.292493217040727,0.015226639746100317,-0.0008182201207122099,-0.4101713654367963,True,window_change_indicates_transient
0.1584375,0.5,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,declining_transient,transient_basin,0.6759730463608781,0.20990980119446506,-0.29009019880553494,0.010970692809473808,-0.000685602677984033,-0.40896002017499655,True,window_change_indicates_transient
0.1584375,0.5,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,declining_transient,transient_basin,0.6831527048823999,0.20864978553631056,-0.29135021446368947,0.013255078589908296,-0.0007601864757131248,-0.41009704677414077,True,window_change_indicates_transient
0.1584375,0.6,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,recovery_transient,transient_basin,1.308563649678911,0.0004462883507327866,-0.5995537116492672,0.2000985936047878,-6.2599527559875015e-06,6.2652256858391695,True,window_change_indicates_transient
0.1584375,0.6,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,recovery_transient,transient_basin,1.3053247417331006,0.0021911617753646983,-0.5978088382246353,0.1992409044320316,-3.098272718689819e-05,1.9255587257850917,True,window_change_indicates_transient
0.1584375,0.6,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,recovery_transient,transient_basin,1.2969136597089763,0.006641414189444301,-0.5933585858105557,0.19699886942359046,-9.453183420453113e-05,1.0443032912883117,True,window_change_indicates_transient
0.1584375,0.6,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,recovery_transient,transient_basin,1.2766892721857896,0.016907397231008855,-0.5830926027689911,0.19152830867440396,-0.00024362714816010596,0.5972302201441841,True,window_change_indicates_transient
0.1584375,0.6,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,recovery_transient,transient_basin,1.2343414256686225,0.03676087593872967,-0.5632391240612703,0.17977234944230858,-0.0005357716388878553,0.3035538282565087,True,window_change_indicates_transient
0.1584375,0.6,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,recovery_transient,transient_basin,1.2205386517695231,0.04283607260772898,-0.557163927392271,0.1758687766554233,-0.0006243625301792455,0.25440528514365507,True,window_change_indicates_transient
0.1584375,0.6,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,recovery_transient,transient_basin,1.2283229388091883,0.039431153941832664,-0.5605688460581673,0.17807407347204246,-0.0005748253682563514,0.293212763484615,True,window_change_indicates_transient
0.1584375,0.7,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,recovery_transient,transient_basin,0.4627161896120895,4.594771812516848e-06,-0.6999954052281875,-0.05320327300130105,0.014816168000482927,635.9270478192462,True,window_change_indicates_transient
0.1584375,0.7,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,recovery_transient,transient_basin,0.7230575876889069,8.903269241371935e-06,-0.6999910967307585,0.02489801665752847,0.012467234537178488,400.4506138475403,True,window_change_indicates_transient
0.1584375,0.7,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,recovery_transient,transient_basin,0.9054159399655267,2.094671504674636e-05,-0.6999790532849532,0.07960372973643401,0.01061935856235268,254.35836380472975,True,window_change_indicates_transient
0.1584375,0.7,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,recovery_transient,transient_basin,1.0626893203390426,5.182460093951759e-05,-0.6999481753990604,0.12678182838952853,0.008673497925444786,154.94654556835732,True,window_change_indicates_transient
0.1584375,0.7,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,recovery_transient,transient_basin,1.199488941904373,0.00012507254698543855,-0.6998749274530145,0.16780692159414298,0.006163741459827268,84.7088560180397,True,window_change_indicates_transient
0.1584375,0.7,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,recovery_transient,transient_basin,1.2245672381704864,0.0001529011941164839,-0.6998470988058835,0.17532214786343353,0.005472685455382309,72.59075602441872,True,window_change_indicates_transient
0.1584375,0.7,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,recovery_transient,transient_basin,1.2052765915126915,0.00013778378462193987,-0.699862216215378,0.16954211849961648,0.006015212870698351,81.90738760485478,True,window_change_indicates_transient
0.1584375,0.8,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,recovery_transient,transient_basin,0.0004703721966476074,5.636995244279417e-06,-0.7999943630047558,-0.19235868232491574,0.01078905546426419,4.642303819997883,True,window_change_indicates_transient
0.1584375,0.8,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,recovery_transient,transient_basin,0.0011455484796607665,5.653597708886113e-06,-0.7999943464022912,-0.1921552475881675,0.010923466024082765,11.309930706377926,True,window_change_indicates_transient
0.1584375,0.8,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,recovery_transient,transient_basin,0.0021897687380358416,5.680297159817517e-06,-0.7999943197028402,-0.1918405166909574,0.011130514102735434,21.630780317083552,True,window_change_indicates_transient
0.1584375,0.8,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,recovery_transient,transient_basin,0.003989131666399773,5.730361958492371e-06,-0.7999942696380415,-0.19129786948540342,0.01148470338127645,39.43789119924668,True,window_change_indicates_transient
0.1584375,0.8,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,recovery_transient,transient_basin,0.007253253750952114,5.8593845431201945e-06,-0.7999941406154569,-0.19031231961013634,0.01211746899629103,71.802091704295,True,window_change_indicates_transient
0.1584375,0.8,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,recovery_transient,transient_basin,0.008302745633672939,6.0249299737949335e-06,-0.7999939750700262,-0.18999508510299032,0.012317810570667068,82.22199743346346,True,window_change_indicates_transient
0.1584375,0.8,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,recovery_transient,transient_basin,0.007557079813871628,6.151072403489482e-06,-0.7999938489275965,-0.19022051687940764,0.012175607187159451,74.8179727181861,True,window_change_indicates_transient
0.1584375,0.9,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,extinct_steady,extinct_basin,1.4521721536309868e-07,9.945994130553613e-06,-0.8999900540058695,-0.19250062750414393,0.0106947088136131,0.0014328301438921037,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.9,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,extinct_steady,extinct_basin,3.493550340299802e-07,9.967645228656618e-06,-0.8999900323547714,-0.19250056759930506,0.010694747243334841,0.003447020953259273,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.9,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,extinct_steady,extinct_basin,6.338798200887387e-07,1.000284785881937e-05,-0.8999899971521412,-0.1925004839209746,0.010694799557992327,0.006254370360416599,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.9,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,extinct_steady,extinct_basin,1.0867493285963289e-06,1.0069832613528133e-05,-0.8999899301673865,-0.19250035216913988,0.010694882442164294,0.010722747362095596,True,steady_by_tail_change_and_rhs_residual
