run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,time,mean_w,var_u,var_v,var_w,pattern_strength,dominant_wavelength,dominant_power,min_z
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,2.0,0.653575064833122,8.980881283025594e-12,3.993639686072141e-11,6.984087038510158e-15,3.993639686072141e-11,2.773500981126145,8.491156134979478e-07,3.6166690655127525
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,3.0,0.5453244082597866,9.619434542047046e-12,1.3613998153376656e-11,3.605233006693355e-14,1.3613998153376656e-11,3.7139067635410368,8.537023484855932e-07,2.5633861528134014
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,4.0,0.4045971764815558,8.255048204366861e-12,7.404959955179886e-12,2.0321630812637904e-14,8.255048204366861e-12,3.7139067635410368,1.024187439609597e-06,2.0178281676592578
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,5.0,0.29185966248319883,6.214977511852456e-12,5.399340563249383e-12,8.288008373661459e-15,6.214977511852456e-12,3.7139067635410368,9.503831941557064e-07,1.7279731091118882
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,6.0,0.21080726476455286,4.526266206148604e-12,4.030305020947936e-12,3.3098374862138217e-15,4.526266206148604e-12,3.7139067635410368,8.024653521813135e-07,1.5574056129561382
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,7.0,0.1534687670071884,3.29519956378327e-12,2.9997999800981393e-12,1.364325554726512e-15,3.29519956378327e-12,3.7139067635410368,6.521901511499765e-07,1.4496447969543822
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,8.0,0.11265300766402794,2.4147265687866245e-12,2.2336784340458942e-12,5.851091077999762e-16,2.4147265687866245e-12,3.7139067635410368,5.199265631856681e-07,1.3781714177680875
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,9.0,0.08328013257225923,1.7824728312740858e-12,1.6683449841038672e-12,2.6045037039139413e-16,1.7824728312740858e-12,3.7139067635410368,4.097505188085803e-07,1.3290654262750372
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,10.0,0.061916240864365216,1.3246463542054972e-12,1.2511207927903383e-12,1.1975049630654903e-16,1.3246463542054972e-12,3.7139067635410368,3.2052808567591484e-07,1.294437124843877
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,11.0,0.04623668544329164,9.902921497041887e-13,9.421370815907005e-13,5.658986294158024e-17,9.902921497041887e-13,3.7139067635410368,2.49473920606207e-07,1.2695414115774817
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,12.0,0.03464518726423485,7.442203895482457e-13,7.122778777515458e-13,2.7365291998608666e-17,7.442203895482457e-13,3.7139067635410368,1.9349150506825548e-07,1.2513829614566205
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,13.0,0.026027001910160455,5.618872801268255e-13,5.404848804629147e-13,1.3491195627823375e-17,5.618872801268255e-13,3.7139067635410368,1.4969992911658525e-07,1.2379947137389165
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,14.0,0.019591215005358806,4.2597566988374175e-13,4.1151850500935984e-13,6.7600382932931815e-18,4.2597566988374175e-13,3.7139067635410368,1.156149124566362e-07,1.2280428819401024
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,15.0,0.01476893623920246,3.241331224208687e-13,3.143019411922365e-13,3.4338526626151375e-18,3.241331224208687e-13,8.944271909999157,9.076974790554758e-08,1.2205996302723756
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,16.0,0.011146323796663065,2.4746237171711634e-13,2.4073953766869555e-13,1.7644815176481438e-18,2.4746237171711634e-13,8.944271909999157,7.301485729553862e-08,1.215006296591234
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,17.0,0.008419580771181255,1.8949993962735825e-13,1.8488091416213345e-13,9.155327882457702e-19,1.8949993962735825e-13,8.944271909999157,5.868245527400124e-08,1.2107877918321115
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,18.0,0.006364088147771421,1.4551517078398304e-13,1.4232874760833443e-13,4.789527611596428e-19,1.4551517078398304e-13,8.944271909999157,4.71325794230441e-08,1.207597146249322
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,19.0,0.004812836767005377,1.1202280956332868e-13,1.0981697491819102e-13,2.5229903411210373e-19,1.1202280956332868e-13,8.944271909999157,3.7837247883930324e-08,1.2051784958116398
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,20.0,0.0036411125092263275,8.644008645024581e-14,8.490842062820512e-14,1.3368108201216876e-19,8.644008645024581e-14,8.944271909999157,3.036392922585771e-08,1.203341739653169
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,21.0,0.0027554739887550176,6.684298621887407e-14,6.577659654634159e-14,7.117955106397111e-20,6.684298621887407e-14,8.944271909999157,2.4360136476832243e-08,1.2019448141668976
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,22.0,0.002085731486518056,5.179144796151167e-14,5.104723904586467e-14,3.805680705636753e-20,5.179144796151167e-14,8.944271909999157,1.953974865127224e-08,1.200881074410316
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,23.0,0.0015790578310709775,4.0203004822407055e-14,3.968254339244258e-14,2.0418063456881543e-20,4.0203004822407055e-14,8.944271909999157,1.5671218495153076e-08,1.20007018195196
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,24.0,0.0011956340159328428,3.1260795225038104e-14,3.08961235602607e-14,1.0986512410954635e-20,3.1260795225038104e-14,8.944271909999157,1.2567601434073615e-08,1.1994514486981647
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,25.0,0.0009054117716120985,2.434617299914615e-14,2.40902234319841e-14,5.926037065490519e-21,2.434617299914615e-14,8.944271909999157,1.0078237401252481e-08,1.1989789304084677
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,26.0,0.0006856962278193925,1.8989056772767703e-14,1.88091380093602e-14,3.2029974960921967e-21,1.8989056772767703e-14,8.944271909999157,8.081879028355988e-09,1.1986177838139167
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,27.0,0.000519334929206608,1.4831159354585345e-14,1.4704508388881472e-14,1.7341734912585788e-21,1.4831159354585345e-14,8.944271909999157,6.481055549838007e-09,1.1983415466556882
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,28.0,0.0003933576438527117,1.1598626849205982e-14,1.1509358251291299e-14,9.402674799911486e-22,1.1598626849205982e-14,8.944271909999157,5.1974756614186894e-09,1.198130097853965
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,29.0,0.00029795275058931264,9.081590600648844e-15,9.018596173586166e-15,5.104251118403047e-22,9.081590600648844e-15,8.944271909999157,4.168293452179981e-09,1.197968122452313
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,30.0,0.0002256957625843514,7.118823934997184e-15,7.0743219840636534e-15,2.773637484646303e-22,7.118823934997184e-15,8.944271909999157,3.3430854258563024e-09,1.1978439532911795
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,31.0,0.00017096721263942577,5.586186384940268e-15,5.554716531454093e-15,1.508459180530802e-22,5.586186384940268e-15,8.944271909999157,2.6814091379693717e-09,1.1977486950808904
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,32.0,0.00012951303378224208,4.387890164029967e-15,4.3656151274139895e-15,8.209645100763207e-23,4.387890164029967e-15,8.944271909999157,2.1508356026220048e-09,1.1976755608828258
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,33.0,9.811232939930343e-05,3.4498783879447707e-15,3.4340978204187234e-15,4.470670188615337e-23,3.4498783879447707e-15,8.944271909999157,1.7253659452185958e-09,1.1976193688012198
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,34.0,7.432616933261804e-05,2.714789266510609e-15,2.703600479296112e-15,2.4357735269973721e-23,2.714789266510609e-15,8.944271909999157,1.3841586201115717e-09,1.1975761597600358
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,35.0,5.630757459609323e-05,2.138115646760363e-15,2.130176432734004e-15,1.327646908338129e-23,2.138115646760363e-15,8.944271909999157,1.1105073769658594e-09,1.1975429069554544
