shape_label,stress,baseline_state,perturbation_type,seed,T,time,var_n,var_w,var_q,cv_n,cv_w,cv_q
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3200.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,0.0,0.0,4.930380657631324e-32,0.0010694011831151552,0.0,3.460435401429061e-16,0.14448839308821412
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,40.0,0.03539539738124636,0.00983213763751804,0.00045913441406360506,0.03827937988190495,0.16556308809821924,0.0962858055768511
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,80.0,0.044799769184052256,0.01214087774486975,4.615261256821527e-05,0.04299309369797774,0.1851739095298631,0.03133594248618613
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,120.0,0.03096505519656982,0.00823264946676398,2.1743448714689542e-05,0.03592861768253024,0.14911082564059214,0.021965576908726026
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,160.0,0.006602351120324504,0.0017162157466287943,0.00010932210785414212,0.016758759264878343,0.06533875817978828,0.04973010579113793
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,200.0,0.004438224957279418,0.0011880780025732077,8.857237341257243e-05,0.013863987617802684,0.05252781215090762,0.044640198879174725
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,240.0,0.0042854185621737165,0.0011364960083726854,2.9177698222636015e-05,0.013618173328433918,0.05145152051249111,0.02543838586887452
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,280.0,0.0015116371059157702,0.00040164026021544987,6.030444338594325e-06,0.008069319672956373,0.030858204857002466,0.011504829802511952
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,320.0,0.00034963037611241993,9.291367291404666e-05,7.156619732391379e-07,0.0038737931000068352,0.014944947997081163,0.003952725240530224
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,360.0,4.62117595099755e-05,1.2251381836378942e-05,4.730429609792569e-08,0.001406913939304011,0.0054481781827938,0.0010152690647280388
