r_v,a_v,b_u,b_v,b_v_over_b_u,stress,branch_exists,A1,A2,A3,A1A2_minus_A3,routh_hurwitz_stable,max_real_eigenvalue,rh_matches_eigenvalue,condition_class
0.6,0.3,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.08,0.02,0.25,0.1584375,True,4.652591991341991,0.2331370487008293,0.0029512622296627034,1.0817403034409232,True,-0.025259899137576168,True,branch_stable
0.6,0.3,0.08,0.02,0.25,0.16486816,True,4.689672680173159,0.22380400499240416,0.0027492577505385664,1.0468182701756765,True,-0.024044780509815886,True,branch_stable
0.6,0.3,0.08,0.04,0.5,0.1584375,True,4.464810606060605,0.24838103961870317,0.002577927406994049,1.1063963726269512,True,-0.013783461575637314,True,branch_stable
0.6,0.3,0.08,0.04,0.5,0.16486816,True,4.518594307878788,0.23833893284225738,0.00243938481780785,1.0745175604691208,True,-0.013872014040960104,True,branch_stable
0.6,0.3,0.08,0.06,0.75,0.1584375,True,3.901466450216449,0.294113012372331,0.001457922938988096,1.1460141274037567,True,-0.005333901660380129,True,branch_stable
0.6,0.3,0.08,0.06,0.75,0.16486816,True,4.005359190995671,0.2819437163918206,0.0015097660196156971,1.1277760897738398,True,-0.005838387883678343,True,branch_stable
0.6,0.3,0.1,0.025,0.25,0.1584375,True,4.231704545454545,0.2700569890003468,0.005605184325396833,1.137196203559139,True,-0.032241131612962506,True,branch_stable
0.6,0.3,0.1,0.025,0.25,0.16486816,True,4.262104029090908,0.26295220210313097,0.005553223495097524,1.115176416546984,True,-0.031147843470476753,True,branch_stable
0.6,0.3,0.1,0.05,0.5,0.1584375,True,3.8334794372294363,0.3013540584013139,0.003506434300595242,1.1517281519064801,True,-0.014186156083275716,True,branch_stable
0.6,0.3,0.1,0.05,0.5,0.16486816,True,3.877241331255411,0.2946543368416803,0.0035929571846462795,1.1388530160515704,True,-0.015236637716781697,True,branch_stable
0.6,0.3,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.08,0.02,0.25,0.1584375,True,4.501806915306915,0.37747112812195915,0.002540867267133195,1.696761267641005,True,-0.007379732017818825,True,branch_stable
0.6,0.35,0.08,0.02,0.25,0.16486816,True,4.535744011437451,0.3713159944853359,0.002332858231235464,1.6818614401065686,True,-0.006855983697999883,True,branch_stable
0.6,0.35,0.08,0.04,0.5,0.1584375,True,4.352703962703962,0.38140646862781225,0.002278588898755344,1.6578708584984474,True,-0.006447947715605846,True,branch_stable
0.6,0.35,0.08,0.04,0.5,0.16486816,True,4.401630942284382,0.3752837177932342,0.002120664676275422,1.6497397596979442,True,-0.006084434862452812,True,branch_stable
0.6,0.35,0.08,0.06,0.75,0.1584375,True,3.9053951048951046,0.39321249014537063,0.0014917537936217941,1.534158380403723,True,-0.003948445845963538,True,branch_stable
0.6,0.35,0.08,0.06,0.75,0.16486816,True,3.9992917348251753,0.38718688771693266,0.0014840840113952824,1.5469892358676167,True,-0.003997920129166637,True,branch_stable
0.6,0.35,0.1,0.025,0.25,0.1584375,True,4.096736985236984,0.39159573857739716,0.0053898239527065475,1.5988749215385096,True,-0.016653307983904454,True,branch_stable
0.6,0.35,0.1,0.025,0.25,0.16486816,True,4.1246781279875675,0.38698998781213234,0.005326142944899484,1.5908829955339783,True,-0.016736349134358442,True,branch_stable
0.6,0.35,0.1,0.05,0.5,0.1584375,True,3.7450990675990674,0.3997151089109696,0.003566384286004274,1.4934062974017277,True,-0.009824239257564706,True,branch_stable
0.6,0.35,0.1,0.05,0.5,0.16486816,True,3.785032117109557,0.3959164323834292,0.0036249521056603354,1.4949314601570534,True,-0.010135281047323282,True,branch_stable
0.6,0.35,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.08,0.02,0.25,0.1584375,True,4.299816919191919,0.654812646192644,0.0014961714409722192,2.8140783235589906,True,-0.0023202157099472985,True,branch_stable
0.6,0.4,0.08,0.02,0.25,0.16486816,True,4.3300864905050505,0.6541417064925916,0.0012696295353571525,2.8312205366241336,True,-0.001966495665916696,True,branch_stable
0.6,0.4,0.08,0.04,0.5,0.1584375,True,4.221912878787879,0.6486706533167439,0.0014135566406249954,2.737217428689083,True,-0.0022109586159683534,True,branch_stable
0.6,0.4,0.08,0.04,0.5,0.16486816,True,4.265173682424242,0.6491629448055551,0.0012122709163690634,2.7675804368733057,True,-0.0018909190881093538,True,branch_stable
0.6,0.4,0.08,0.06,0.75,0.1584375,True,3.9882007575757576,0.6302446746890435,0.0011657122395833319,2.512376576813347,True,-0.0018717787106249009,True,branch_stable
0.6,0.4,0.08,0.06,0.75,0.16486816,True,4.070435258181819,0.6342266597444395,0.0010401950594047978,2.5805383624432454,True,-0.0016577296441894925,True,branch_stable
0.6,0.4,0.1,0.025,0.25,0.1584375,True,3.9132007575757575,0.6289791377874483,0.0047267187499999965,2.456594919739189,True,-0.007902667563218708,True,branch_stable
0.6,0.4,0.1,0.025,0.25,0.16486816,True,3.938273835959596,0.6288317982162948,0.0046378366482857265,2.471873981486372,True,-0.007750822761224404,True,branch_stable
0.6,0.4,0.1,0.05,0.5,0.1584375,True,3.641988636363637,0.6063660157089537,0.0034751171875000036,2.204903021501604,True,-0.005942833726332807,True,branch_stable
0.6,0.4,0.1,0.05,0.5,0.16486816,True,3.6774547006060603,0.6076437073911087,0.003480321169095254,2.231101886870031,True,-0.005940818715371034,True,branch_stable
0.6,0.4,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.1,0.07500000000000001,0.75,0.16486816,True,2.894997294545454,0.5440794349155498,7.774731523840403e-06,1.5751007173668121,True,-1.4290785972232344e-05,True,branch_stable
0.6,0.45,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.02,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.02,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.04,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.04,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.06,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.08,0.06,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.45,0.1,0.025,0.25,0.1584375,True,3.639405417814509,1.197600431230173,0.0025668217452300785,4.355986676050854,True,-0.0021574403501333386,True,branch_stable
0.6,0.45,0.1,0.025,0.25,0.16486816,True,3.6610889655831045,1.2070283309413838,0.002423005506756773,4.416615098048935,True,-0.0020197808709482485,True,branch_stable
0.6,0.45,0.1,0.05,0.5,0.1584375,True,3.52013085399449,1.1558223944252237,0.00227095663404882,4.06637511571997,True,-0.001976690491090276,True,branch_stable
0.6,0.45,0.1,0.05,0.5,0.16486816,True,3.5503177538292023,1.1682005867699203,0.0021678224151722094,4.145315460827767,True,-0.0018662733194729905,True,branch_stable
0.6,0.45,0.1,0.07500000000000001,0.75,0.1584375,True,3.1623071625344346,1.0304882840103797,0.0013833613005050525,3.257337120133337,True,-0.0013480067371935652,True,branch_stable
0.6,0.45,0.1,0.07500000000000001,0.75,0.16486816,True,3.218004118567494,1.0517173542555316,0.0014022731404184962,3.3830285044227906,True,-0.001338799473326441,True,branch_stable
0.65,0.25,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
