gamma_r,gamma_a,gamma_b,stress,branch_found,q_star,n_star,w_star,z_star,s_of_q_error,max_real_eigenvalue,locally_stable,feasible,branch_class,notes
2.0,1.0,0.5,0.11765625,True,0.078760765673,6.01626125833082,0.05085355978006348,0.599551848555784,-2.4702462297909733e-15,0.001449133391776644,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.1584375,True,0.002981818065,6.113124707800351,0.0017718379691582524,0.5517701208971573,5.045408535409024e-13,0.00013384397770290233,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.16486816,True,0.000457622253,6.116124333383323,0.0002711868081040382,0.5502711464752407,-1.865174681370263e-13,2.1991343593082368e-05,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,1.0,1.0,0.11765625,True,0.313673089951,5.6104593399874165,0.266697748187636,0.7895095784916144,-1.09051656593806e-13,-0.003667767709289795,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,1.0,0.1584375,True,0.102605181076,5.982852482127616,0.06804157267585431,0.6157726118631963,-6.292188992063075e-14,0.0032492934648888803,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,1.0,0.16486816,True,0.046417816065,6.059268197150543,0.028917355336238064,0.5784811141798859,1.7957857423311907e-14,0.0019435003914576967,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,1.0,2.0,0.11765625,True,0.518346321407,5.067210377276478,0.5729919920251548,1.0264642973650346,-2.135791543622645e-14,-0.025430994790143373,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.1584375,True,0.402789795222,5.400916214901728,0.38293992355876083,0.8828105282061783,-1.0547118733938987e-15,-0.006260989516808799,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.16486816,True,0.374588635711,5.471277864041299,0.3436101772856333,0.8517786253397353,-7.002731727823175e-14,-0.003182121188597501,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.175,True,0.055058565466,6.0480300941260605,0.03462810450612667,0.5840084680344797,3.0003777240494856e-14,0.005821784962903664,False,True,feasible_unstable_branch,candidate_roots=2
2.0,2.0,0.5,0.11765625,True,0.110328793966,4.833333333333334,0.6416666666666664,1.1916666666666664,1.8721135752741702e-14,-0.0035462032328897265,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.1584375,True,0.045860561602,4.833333333333333,0.6416666666666668,1.1916666666666669,-3.3614777628088177e-13,-0.0014628599607237043,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.16486816,True,0.038236932098,4.833333333333334,0.6416666666666666,1.1916666666666667,3.175237850427948e-14,-0.0012083766938574035,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.175,True,0.027630611002,4.833333333333334,0.6416666666666666,1.1916666666666667,5.742628594873622e-14,-0.0008550663562098728,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.11765625,True,0.332157784744,4.833333333333334,0.6416666666666666,1.1916666666666667,-2.8727020762175925e-15,-0.01838946103697029,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.1584375,True,0.214150791737,4.833333333333334,0.6416666666666664,1.1916666666666664,-4.163336342344337e-16,-0.011765722462435575,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.16486816,True,0.195542660558,4.833333333333333,0.6416666666666667,1.1916666666666669,-5.764833055366125e-14,-0.010765046416977977,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.175,True,0.166224580018,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.0932921234996229e-13,-0.00921618288814556,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.11765625,True,0.576331315082,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.377642775528102e-14,-0.023667868473614677,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.1584375,True,0.462764293931,4.833333333333333,0.6416666666666667,1.1916666666666669,-1.5837331446277858e-13,-0.01593024787909092,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.16486816,True,0.442202058519,4.833333333333334,0.6416666666666665,1.1916666666666667,-2.10026440683464e-13,-0.01468131562332699,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.175,True,0.407706487584,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.3786194408282881e-13,-0.0126992289336737,True,True,feasible_stable_branch,candidate_roots=1
