case_label,stress,time,n,w,q,z,r_q,a_q,b_q,selection_gradient,predator_growth_factor,classification
persistent_case,0.1584375,1235.0,4.833333394800937,0.6416666346041101,0.21415080135773037,1.1916666372616196,0.9250472195247944,0.8608019791174752,0.06715095191853619,-1.054889520180069e-08,-1.537308585985997e-09,persistent_steady
persistent_case,0.1584375,1240.0,4.833333403769587,0.6416666300091984,0.21415080096757144,1.1916666328878813,0.92504721966135,0.8608019793710786,0.06715095194194572,-1.200477944829359e-08,-1.1853620029977918e-09,persistent_steady
persistent_case,0.1584375,1245.0,4.83333341072031,0.6416666264546632,0.21415080052452404,1.191666629491694,0.9250472198164166,0.8608019796590594,0.06715095196852856,-1.3126561781984236e-08,-8.674141127595902e-10,persistent_steady
persistent_case,0.1584375,1250.0,4.833333415802553,0.6416666238633478,0.21415080003482592,1.191666627000766,0.9250472199878109,0.8608019799773632,0.06715095199791045,-1.3939091991765906e-08,-5.816934711688759e-10,persistent_steady
persistent_case,0.1584375,1255.0,4.833333419121268,0.64166662218118,0.2141507995004486,1.191666625364219,0.925047220174843,0.8608019803247084,0.0671509520299731,-1.4459709651859498e-08,-3.2618183154475844e-10,persistent_steady
persistent_case,0.1584375,1260.0,4.833333420728419,0.6416666213815585,0.21415079891873337,1.1916666245566896,0.9250472203784433,0.8608019807028233,0.06715095206487601,-1.4696828309901377e-08,-9.871378714443324e-11,persistent_steady
persistent_case,0.1584375,1265.0,4.833333421411031,0.6416666210567255,0.2141507983530556,1.1916666241989105,0.9250472205764305,0.8608019810705139,0.06715095209881666,-1.4782747081998338e-08,1.0024334140545932e-10,persistent_steady
persistent_case,0.1584375,1270.0,4.833333421166777,0.6416666212081631,0.21415079779728735,1.1916666242917273,0.9250472207709494,0.8608019814317631,0.06715095213216277,-1.4716798557579125e-08,2.725994430186063e-10,persistent_steady
persistent_case,0.1584375,1275.0,4.833333419950489,0.6416666218595097,0.21415079724275657,1.191666624856668,0.9250472209650352,0.8608019817922082,0.06715095216543461,-1.4491152444673361e-08,4.199962877482477e-10,persistent_steady
persistent_case,0.1584375,1280.0,4.833333417821109,0.6416666229803399,0.2141507966917458,1.191666625865218,0.9250472211578891,0.8608019821503653,0.06715095219849525,-1.4115605295739186e-08,5.431919358755977e-10,persistent_steady
persistent_case,0.1584375,1285.0,4.8333334147921185,0.6416666245637076,0.21415079614454768,1.1916666273108407,0.9250472213494083,0.860801982506044,0.06715095223132715,-1.3592384273675151e-08,6.424321630227325e-10,persistent_steady
persistent_case,0.1584375,1290.0,4.833333410870483,0.6416666266060305,0.21415079560109831,1.1916666291901534,0.9250472215396156,0.8608019828592861,0.06715095226393411,-1.292263390739734e-08,7.179145333768844e-10,persistent_steady
persistent_case,0.1584375,1295.0,4.833333407017513,0.6416666286111677,0.21415079509795404,1.1916666310379864,0.9250472217157162,0.8608019831863299,0.06715095229412275,-1.226603618675881e-08,7.821827074927512e-10,persistent_steady
persistent_case,0.1584375,1300.0,4.833333402798136,0.6416666308036736,0.21415079461831127,1.1916666330648575,0.9250472218835911,0.8608019834980978,0.06715095232290133,-1.155031226218739e-08,8.296442977062668e-10,persistent_steady
persistent_case,0.1584375,1305.0,4.833333398271251,0.6416666331531421,0.21415079416461696,1.1916666352422736,0.925047222042384,0.8608019837929989,0.06715095235012299,-1.0785253357070701e-08,8.610000212794233e-10,persistent_steady
persistent_case,0.1584375,1310.0,4.8333333934741445,0.641666635640297,0.21415079373894325,1.1916666375522253,0.9250472221913698,0.8608019840696868,0.0671509523756634,-9.977085768664296e-09,8.765275449906795e-10,persistent_steady
persistent_case,0.1584375,1315.0,4.833333388421121,0.6416666382576998,0.2141507933430746,1.1916666399878464,0.9250472223299239,0.8608019843270015,0.06715095239941551,-9.128241329481313e-09,8.760141223529416e-10,persistent_steady
persistent_case,0.1584375,1320.0,4.833333383237582,0.6416666409408068,0.21415079297791437,1.1916666424882782,0.92504722245773,0.8608019845643556,0.06715095242132514,-8.25937290782619e-09,8.623387837136676e-10,persistent_steady
persistent_case,0.1584375,1325.0,4.833333378269251,0.6416666435118161,0.2141507926430164,1.1916666448855997,0.9250472225749442,0.8608019847820394,0.06715095244141901,-7.427279402616449e-09,8.443802046453897e-10,persistent_steady
persistent_case,0.1584375,1330.0,4.833333373369495,0.6416666460460629,0.21415079234024367,1.191666647251109,0.9250472226809147,0.8608019849788415,0.06715095245958538,-6.607947244940959e-09,8.178346888598753e-10,persistent_steady
persistent_case,0.1584375,1335.0,4.833333368588907,0.6416666485174878,0.21415079207038537,1.1916666495602726,0.9250472227753652,0.8608019851542495,0.06715095247577688,-5.809728309547069e-09,7.837269999644292e-10,persistent_steady
persistent_case,0.1584375,1340.0,4.833333363972585,0.6416666509028559,0.2141507918342554,1.191666651791226,0.9250472228580107,0.860801985307734,0.06715095248994468,-5.040072692530373e-09,7.429356019272859e-10,persistent_steady
persistent_case,0.1584375,1345.0,4.833333359560522,0.6416666531815551,0.21415079163276998,1.1916666539245895,0.9250472229285305,0.8608019854386996,0.0671509525020338,-4.305595435738496e-09,6.961763943102994e-10,persistent_steady
persistent_case,0.1584375,1350.0,4.833333355362356,0.6416666553492918,0.214150791451633,1.191666655955019,0.9250472229919284,0.8608019855564386,0.06715095251290203,-3.607216969570004e-09,6.482853975864344e-10,persistent_steady
persistent_case,0.1584375,1355.0,4.833333351399917,0.6416666573950276,0.21415079128674705,1.1916666578717225,0.9250472230496385,0.8608019856636144,0.06715095252279517,-2.9483349095471567e-09,6.011303399500179e-10,persistent_steady
persistent_case,0.1584375,1360.0,4.833333347711346,0.6416666592987494,0.21415079114661942,1.191666659656572,0.9250472230986833,0.8608019857546974,0.06715095253120285,-2.335612980797208e-09,5.529426638783974e-10,persistent_steady
persistent_case,0.1584375,1365.0,4.833333344315141,0.6416666610509655,0.214150791030758,1.1916666613005602,0.9250472231392347,0.8608019858300073,0.06715095253815452,-1.7720684919453333e-09,5.04347286156559e-10,persistent_steady
persistent_case,0.1584375,1370.0,4.833333341225349,0.6416666626444689,0.21415079093879533,1.191666662796849,0.9250472231714216,0.8608019858897831,0.06715095254367229,-1.259992332691695e-09,4.558173283264466e-10,persistent_steady
persistent_case,0.1584375,1375.0,4.8333333384515615,0.6416666640743383,0.21415079087048838,1.1916666641407672,0.9250472231953291,0.8608019859341826,0.06715095254777069,-8.009485852333853e-10,4.076723125745474e-10,persistent_steady
persistent_case,0.1584375,1380.0,4.833333335998914,0.6416666653379361,0.21415079082571883,1.1916666653298171,0.9250472232109984,0.8608019859632827,0.06715095255045686,-3.957774663554403e-10,3.600812148452093e-10,persistent_steady
persistent_case,0.1584375,1385.0,4.833333333868092,0.6416666664349104,0.21415079080449287,1.1916666663636646,0.9250472232184275,0.8608019859770797,0.06715095255173044,-4.459077551643986e-11,3.1305874559350855e-10,persistent_steady
persistent_case,0.1584375,1390.0,4.8333333320428915,0.6416666673739031,0.21415079080018515,1.1916666672498724,0.9250472232199352,0.8608019859798797,0.06715095255198889,2.5558172245254696e-10,2.683236133282918e-10,persistent_steady
persistent_case,0.1584375,1395.0,4.8333333304871156,0.6416666681742242,0.21415079079785151,1.1916666680053272,0.9250472232207521,0.8608019859813966,0.06715095255212891,5.113813261736766e-10,2.29762903147801e-10,persistent_steady
persistent_case,0.1584375,1400.0,4.833333329207038,0.6416666688321528,0.21415079080816782,1.191666668627476,0.9250472232171413,0.8608019859746909,0.06715095255150993,7.21282811255719e-10,1.9410473228731462e-10,persistent_steady
persistent_case,0.1584375,1405.0,4.833333328181709,0.6416666693585376,0.21415079082956265,1.1916666691264204,0.925047223209653,0.8608019859607843,0.06715095255022624,8.888023095288133e-10,1.613245370624128e-10,persistent_steady
persistent_case,0.1584375,1410.0,4.833333327385454,0.641666669766657,0.21415079086044325,1.1916666695145555,0.9250472231988449,0.8608019859407119,0.06715095254837342,1.0182326648511264e-09,1.312855379964617e-10,persistent_steady
persistent_case,0.1584375,1415.0,4.833333326787879,0.6416666700722199,0.21415079089919525,1.191666669806568,0.9250472231852815,0.860801985915523,0.06715095254604828,1.1146440992426676e-09,1.0373837899813054e-10,persistent_steady
persistent_case,0.1584375,1420.0,4.833333326353869,0.6416666702933644,0.21415079094418274,1.1916666700194336,0.925047223169536,0.8608019858862812,0.06715095254334903,1.1838851565748598e-09,7.832071102775728e-11,persistent_steady
