D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.003,0.001,0.3,0.1,0.1584375,0.21415079173699889,-0.015893894916853914,-0.015948784804621724,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.001,0.3,0.1,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014707422051228684,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.001,0.3,0.1,0.175,0.16622458001768367,-0.012681581449417077,-0.012736628296266102,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.005,0.3,0.5,0.11765625,0.3321577847439918,-0.023581704072263975,-0.02368553713361172,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.005,0.3,0.5,0.1584375,0.21415079173699889,-0.015893894916853914,-0.015998135656414204,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.005,0.3,0.5,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014756772684688793,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.005,0.3,0.5,0.175,0.16622458001768367,-0.012681581449417077,-0.012785978573439556,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.01,0.3,1.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023747227224902814,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.01,0.3,1.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.01605982422131924,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.01,0.3,1.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014818460976664513,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.01,0.3,1.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012847666420034817,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.02,0.3,2.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023870607408311026,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.02,0.3,2.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016183201351677754,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.02,0.3,2.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014941837561118082,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.003,0.02,0.3,2.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012971042113653686,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.0005,1.0,0.05,0.11765625,0.3321577847439918,-0.023581704072263975,-0.010970750195987982,10,16,8.783947916969527,0,0,True,linearly_spatially_stable
0.01,0.01,0.0005,1.0,0.05,0.1584375,0.21415079173699889,-0.015893894916853914,-0.00974381334546513,4,18,8.389163740925953,0,0,True,linearly_spatially_stable
0.01,0.01,0.0005,1.0,0.05,0.16486816,0.19554266055783315,-0.01465247062034078,-0.009449168500526826,3,18,8.21644566390689,0,0,True,linearly_spatially_stable
0.01,0.01,0.0005,1.0,0.05,0.175,0.16622458001768367,-0.012681581449417077,-0.008912793941216031,8,16,7.895683520871486,0,0,True,linearly_spatially_stable
0.01,0.01,0.001,1.0,0.1,0.11765625,0.3321577847439918,-0.023581704072263975,-0.014688706304609517,0,15,5.551652475612764,0,0,True,linearly_spatially_stable
0.01,0.01,0.001,1.0,0.1,0.1584375,0.21415079173699889,-0.015893894916853914,-0.013397616199013727,2,15,5.650348519623658,0,0,True,linearly_spatially_stable
0.01,0.01,0.001,1.0,0.1,0.16486816,0.19554266055783315,-0.01465247062034078,-0.013046435125048423,1,15,5.576326486615487,0,0,True,linearly_spatially_stable
0.01,0.01,0.001,1.0,0.1,0.175,0.16622458001768367,-0.012681581449417077,-0.012387034434843859,10,11,5.452956431601869,0,0,True,linearly_spatially_stable
0.01,0.01,0.005,1.0,0.5,0.11765625,0.3321577847439918,-0.023581704072263975,-0.02376675409083466,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.005,1.0,0.5,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016078946461868505,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.005,1.0,0.5,0.16486816,0.19554266055783315,-0.01465247062034078,-0.01483752243829416,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
