model,restart,rank,objective_value,failure_reason,continuous_turing_candidate,discrete_turing_candidate,r_U,r_D,defense_cost,a_U,a_D,vulnerability_contrast,K,e,m,mu_UD,mu_DU,delta_U,delta_D,delta_P,delta_D_over_delta_U,delta_P_over_delta_U,h,L,n_x,q_star,N_star,U_star,D_star,P_star,equilibrium_residual,ode_max_real,continuous_max_spatial_growth,best_k,continuous_unstable_windows,discrete_max_spatial_growth,dominant_discrete_mode,dominant_discrete_k
minimal,1,4,8.461670153691817e-07,no_spatial_instability,False,False,1.9115225636513797,1.88808073753191,0.023441826119469766,1.1244353758123673,0.1888041020153505,0.9356312737970168,1.0,1.8594850822461515,1.0634314185177036,1.2938028234510761e-06,1.113237775171134e-06,0.0023071610446688054,14.096456639132684,1.4250648467154908e-07,6109.871121353057,6.176702965787375e-05,nan,20.0,50,0.40944723703499974,0.9999998286228702,0.40944716686510746,0.5905526617577628,5.686679305743167e-07,3.063798754907896e-16,-1.3421169477157416e-06,-8.461670153691817e-07,0.753234309623431,,-8.477162394662268e-07,5,0.7853981633974483
minimal,1,5,1.3299696856970277e-06,no_spatial_instability,False,False,0.8186032443448905,0.8161632621869476,0.0024399821579429437,0.07906380772439778,0.012825638902885718,0.06623816882151207,1.0,1.6290714908336432,0.06360052159181112,1.3606990148887385e-06,1.1398478329598522e-06,5.727299928261887e-05,0.004385215042380242,6.823349540312257e-07,76.56688312656713,0.011913728328844476,nan,20.0,50,0.39577396813504534,0.9999995461629436,0.39577378851815265,0.6042257576447909,9.498823471335852e-06,9.899976971701247e-17,-1.3299608160769217e-06,-1.3299696856970277e-06,0.0001,,-5.1120847559602664e-06,12,1.8849555921538759
minimal,1,6,1.5177348927777116e-06,no_spatial_instability,False,False,0.36109580744589814,0.3596249663079033,0.0014708411379948383,0.024085395576233737,0.011206002728794478,0.01287939284743926,1.0,0.6096806418714648,0.010688331641717216,4.881369735474708e-06,7.686544962832067e-06,0.5456582346180414,28828.172580159422,0.00015160065927182512,52831.92069911495,0.00027783079160886295,nan,20.0,50,0.4911282777990004,0.9999769872791902,0.4911169756010616,0.5088600116781284,0.00047301158475988875,3.601888682262096e-17,-6.457693585708355e-06,-1.5177348927777116e-06,0.083781589958159,,-4.171218816563604e-06,1,0.15707963267948966
minimal,1,7,1.6048719675338158e-06,no_spatial_instability,False,False,1.8363409157067354,1.8296228253055875,0.006718090401147903,0.04213602176587904,0.016022707718158797,0.026113314047720246,1.0,1.3940179593889335,0.039246327749624325,1.1638708293780219e-06,1.4006943189669386e-06,0.02816301553343106,121.69635951301517,0.01452407962380893,4321.140943467323,0.5157146473383876,nan,20.0,50,0.4645405681852159,0.9999995029396305,0.4645403372805094,0.535459165659121,3.235787467937906e-05,8.641792929472815e-17,-1.3215048244432444e-06,-1.6048719675338158e-06,0.0001,,-0.0003584163403909708,1,0.15707963267948966
minimal,1,8,1.6951990701335768e-06,no_spatial_instability,False,False,1.8900155191303307,1.8708662923366293,0.019149226793701457,1.2947236170199188,0.3510953020667971,0.9436283149531217,1.0,0.8968018012707624,0.5793560429308586,2.0872222772541174e-06,1.2909086966818628e-06,5.009053406953741,23704.245872455802,0.00011616795641719895,4732.280522213788,2.3191598687275043e-05,nan,20.0,50,0.31254846103258654,0.9999995981008317,0.31254833541962,0.6874512626812117,1.1676098270308155e-06,1.6164581136130725e-16,-2.009750006010509e-06,-1.6951990701335768e-06,0.083781589958159,,-3.6349838935855173e-06,1,0.15707963267948966
holling2,0,1,1.0993079320506077e-07,no_spatial_instability,False,False,1.8887993068162259,1.8660026878138396,0.022796619002386276,0.5598078974669605,0.04915739382170453,0.510650503645256,1.0,0.12212662068517555,0.009027780243753763,1.8792240638072686e-05,2.3578380681788977e-06,0.12841577737638205,62549.26018607961,9.640739841930769e-06,487083.9196242216,7.50744187271795e-05,3.686433626656526,20.0,50,0.10271963046411142,0.9999997853479834,0.1027196084151356,0.8972801769328479,5.42526758775454e-06,9.024647373765777e-13,-1.1246485497821745e-05,-1.0993079320506077e-07,0.083781589958159,,-2.795545431294123e-07,1,0.15707963267948966
holling2,0,2,2.7973687787147026e-07,no_spatial_instability,False,False,1.8612814783438223,1.851826184203793,0.009455294140029213,0.08811400871576759,0.027418415591010183,0.060695593124757405,1.0,0.26145666330389283,0.009549648299123262,2.850986115675471e-06,6.311393386026354e-06,5.662409166474111e-05,41.04050020684879,1.3874303883993176e-07,724788.6721051639,0.0024502474964437225,4.716355925786611,20.0,50,0.2752759305766251,0.9999925260129213,0.2752738731678769,0.7247186528450444,0.00037946492922518707,3.677134133307094e-18,-8.420515632113203e-06,-2.7973687787147026e-07,0.418507949790795,,-2.818628894098378e-07,3,0.47123889803846897
holling2,0,3,3.0131968016601195e-07,no_spatial_instability,False,False,1.3298480738258562,1.1237115879190038,0.2061364859068524,0.05238344722206786,0.013196153512345972,0.039187293709721883,1.0,0.12232661073341866,0.0023296113549854313,0.00017022553699670842,6.290492157698632e-05,0.04685056697107778,6.497667058940753,8.500357634433162e-07,138.6891873251385,1.814355339537445e-05,8.897590864418696,20.0,50,0.24838995767130365,0.9999851429069444,0.24838626731858846,0.7515988755883559,0.0009165810461035515,2.6411793664542195e-15,-0.0001221537677707129,-3.0131968016601195e-07,0.334826359832636,,-3.0087130759124784e-07,2,0.3141592653589793
holling2,0,4,3.4996070796116287e-07,no_spatial_instability,False,False,1.7562583690685905,1.7482365376496776,0.008021831418912884,0.02927660153141599,0.012804767713218451,0.01647183381819754,1.0,0.4471043479261494,0.005250716763260492,9.467470825716282e-06,3.6999225312754907e-06,0.052041931833183064,34.372742112438935,8.337167301774614e-06,660.4816712534513,0.000160200957345297,19.95678116788096,20.0,50,0.15384418258374882,0.9999931249204779,0.15384312489275953,0.8461500000277182,0.0010241691790380024,2.7115021410184985e-16,-1.0834917270008767e-05,-3.4996070796116287e-07,0.083781589958159,,-3.593138857177422e-07,1,0.15707963267948966
holling2,0,5,7.061512721201733e-07,no_spatial_instability,False,False,0.3413631181394666,0.3336653253993608,0.007697792740105847,0.4169609505150484,0.11147436843533985,0.3054865820797085,1.0,0.0705391662651792,0.002019030714122215,8.913076653146193e-06,2.3319128898320635e-06,1.2889476061851837,1020909.8980072861,9.2156826948734e-05,792049.1826885099,7.149772923779633e-05,14.158682311333413,20.0,50,4.5257891939586634e-06,0.4317240145045203,1.9538918796170113e-06,0.4317220606126407,2.8599868057033904,3.848188963880149e-14,-0.0035782931278482365,-7.061512721201733e-07,0.083781589958159,,-2.3092710213441146e-06,1,0.15707963267948966
