case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
persistent_case,0.1584375,0.1,0.1,1485.0,4.833333330223122,0.6416666682714336,0.21415079162865946,1.5529928699560915e-29,4.20001084667446e-30,1.34968756728646e-31,4.833333330223114,0.6416666682714294,0.2141507916286588,0.21415079162866038,1.191666668172107
persistent_case,0.1584375,0.1,0.1,1490.0,4.833333330494144,0.641666668131069,0.21415079164943807,1.5908181340638568e-29,4.3241400408557554e-30,1.219386369486511e-31,4.833333330494136,0.6416666681310648,0.21415079164943746,0.21415079164943893,1.1916666680414503
persistent_case,0.1584375,0.1,0.1,1495.0,4.833333330762539,0.6416666679921434,0.2141507916683109,1.6946642766652166e-29,4.3840966474369605e-30,1.0551895569817313e-31,4.833333330762532,0.641666667992139,0.2141507916683103,0.21415079166831166,1.1916666679119794
persistent_case,0.1584375,0.1,0.1,1500.0,4.833333331025179,0.6416666678562655,0.21415079168531062,1.7079339339820446e-29,4.591525320978542e-30,9.058660393990358e-32,4.833333331025172,0.6416666678562609,0.21415079168531004,0.21415079168531131,1.1916666677852177
persistent_case,0.1584375,0.1,0.1,1505.0,4.8333333312794675,0.6416666677247675,0.21415079170048978,1.624887834780067e-29,4.365725081326829e-30,5.158896759431176e-32,4.83333333127946,0.6416666677247633,0.2141507917004893,0.2141507917004903,1.1916666676624277
persistent_case,0.1584375,0.1,0.1,1510.0,4.833333331523301,0.6416666675987286,0.21415079171391693,1.614025589893723e-29,4.074175398933059e-30,3.783173402867224e-32,4.833333331523293,0.6416666675987245,0.21415079171391652,0.2141507917139174,1.1916666675446335
persistent_case,0.1584375,0.1,0.1,1515.0,4.83333333175502,0.6416666674789979,0.21415079172567372,1.3075138392444944e-29,3.56055094762375e-30,3.6068304423342675e-32,4.8333333317550125,0.641666667478994,0.2141507917256733,0.21415079172567417,1.1916666674326453
persistent_case,0.1584375,0.1,0.1,1520.0,4.833333331973369,0.6416666673662175,0.21415079173585144,1.1647253931676248e-29,3.0337128113366215e-30,2.86444463408375e-32,4.833333331973362,0.6416666673662137,0.21415079173585108,0.2141507917358519,1.1916666673270766
persistent_case,0.1584375,0.1,0.1,1525.0,4.833333332177453,0.6416666672608426,0.21415079174454887,1.0335503046554101e-29,2.6264237670817927e-30,2.668033633993556e-32,4.833333332177447,0.641666667260839,0.21415079174454849,0.21415079174454926,1.191666667228367
persistent_case,0.1584375,0.1,0.1,1530.0,4.833333332366696,0.6416666671631667,0.2141507917518695,9.589012600109609e-30,2.3988901904801313e-30,1.688762204165331e-32,4.8333333323666885,0.6416666671631632,0.21415079175186919,0.21415079175186985,1.191666667136802
