parameter_set_label,r_v,a_v,b_u,b_v,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,physical,notes
current,0.65,0.35,0.08,0.02,0.16486816,0.2,0.02,declining_transient,transient_basin,0.9932650628068376,0.11108444568213767,-0.08891555431786234,0.10849215544820537,-0.001414818935722928,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.2,0.05,declining_transient,transient_basin,0.6410595470111019,0.19572131954136784,-0.004278680458632167,-0.00019855900077950274,-3.067755786602005e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.2,0.1,persistent_steady,persistent_basin,0.6416619956542007,0.19554344922507405,-0.00445655077492596,-1.5085653261081448e-06,-4.3419515871269526e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.2,0.2,persistent_steady,persistent_basin,0.6416666546261983,0.1955426664382807,-0.004457333561719318,-4.009606206727083e-09,-1.3556006211247181e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.2,0.5,persistent_steady,persistent_basin,0.6416666686899843,0.19554266032897746,-0.004457339671022548,6.511627135987714e-10,-1.8536807891125464e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.2,1.0,persistent_steady,persistent_basin,0.641666666507095,0.19554266056173641,-0.004457339438263597,-5.0811333878406115e-11,5.964385706861104e-12,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.2,1.5,persistent_steady,persistent_basin,0.6416666662101793,0.1955426606213997,-0.004457339378600322,-1.4700324017054478e-10,1.2357124925505347e-13,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.3,0.02,recovery_transient,transient_basin,1.2784507049139788,0.0003740957249881687,-0.29962590427501185,0.1910587837803246,-5.395495201582018e-06,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.3,0.05,recovery_transient,transient_basin,1.2313339400314056,0.02319258125756283,-0.27680741874243714,0.17817643737786623,-0.0003430046579102088,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.3,0.1,declining_transient,transient_basin,0.86703192711494,0.14768740337769018,-0.1523125966223098,0.07019103574650044,-0.0014664843903133351,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.3,0.2,declining_transient,transient_basin,0.6408754728882828,0.19569804228175988,-0.10430195771824011,-0.00025628206267765114,-1.466884832278779e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.3,0.5,persistent_steady,persistent_basin,0.641666711518724,0.1955425798845311,-0.10445742011546888,1.678294135489783e-08,2.404704866953303e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.3,1.0,persistent_steady,persistent_basin,0.641666796443423,0.19554265913884264,-0.10445734086115735,4.1444186845748286e-08,-5.5428408608490694e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.3,1.5,persistent_steady,persistent_basin,0.6416669476627478,0.19554263884788778,-0.10445736115211221,8.994061632087116e-08,-5.705999969843437e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.16486816,0.4,0.02,recovery_transient,transient_basin,0.23884957360365383,1.474106871049363e-06,-0.39999852589312895,-0.12037895840012235,0.012957219600215628,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,0.05,recovery_transient,transient_basin,0.9037657726714373,8.21193322872677e-06,-0.39999178806677127,0.07908948606698513,0.00918633775353611,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,0.1,recovery_transient,transient_basin,1.2788502586482196,0.0001585769376852524,-0.3998414230623148,0.19116592546156183,8.451764096766509e-07,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,0.2,recovery_transient,transient_basin,1.2734405517549918,0.0029468711813942453,-0.39705312881860577,0.18971521635230196,-4.266737888865468e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,0.5,declining_transient,transient_basin,1.1718256251803665,0.048564434015433255,-0.35143556598456677,0.16129542311277684,-0.0007192188126563954,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,1.0,declining_transient,transient_basin,1.0832575670135478,0.08155572138981135,-0.31844427861018865,0.1353859263944211,-0.0011517872026321084,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.4,1.5,declining_transient,transient_basin,1.1210717522181848,0.0680385676636548,-0.33196143233634523,0.14653527472953704,-0.000987143137350254,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,0.02,recovery_transient,transient_basin,0.0017031710768600971,1.95213710129464e-06,-0.4999980478628987,-0.19198826400190855,0.004606093184859587,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,0.05,recovery_transient,transient_basin,0.004849844626011991,1.973123332101417e-06,-0.4999980268766679,-0.19104207583884447,0.005232300684945428,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,0.1,recovery_transient,transient_basin,0.013106632920808072,2.0091895850918353e-06,-0.4999979908104149,-0.1885552589871252,0.006841648272468727,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,0.2,recovery_transient,transient_basin,0.18210396654384028,2.10631337585324e-06,-0.4999978936866242,-0.1374025239724075,0.013204166995406316,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,0.5,recovery_transient,transient_basin,0.594881169454871,3.437771866618461e-06,-0.4999965622281334,-0.013571371872209281,0.011223958533910686,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,1.0,recovery_transient,transient_basin,0.690031830506689,4.891719236631118e-06,-0.4999951082807634,0.014972959302663073,0.01067693324168766,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.16486816,0.5,1.5,recovery_transient,transient_basin,0.6422647643570504,4.3246935205570864e-06,-0.4999956753064794,0.0006433041970995441,0.010957872758304184,True,current_parameterization;window_change_indicates_transient
